Amount,MerchantID,TransactionType,Location,IsFraud,Date
1802.11,874,refund,Houston,0,2025-01-01 00:00:00
955.02,632,purchase,San Antonio,0,2025-01-01 01:00:00
2095.8,849,purchase,Phoenix,0,2025-01-01 02:00:00
5029.27,31,purchase,Los Angeles,0,2025-01-01 03:00:00
867.7,693,purchase,San Diego,0,2025-01-01 04:00:00
867.71,674,purchase,Austin,0,2025-01-01 05:00:00
5319.92,128,refund,Austin,0,2025-01-01 06:00:00
2362.4,767,refund,Los Angeles,0,2025-01-01 07:00:00
685.76,294,purchase,Chicago,0,2025-01-01 08:00:00
1886.65,441,purchase,Austin,0,2025-01-01 09:00:00
689.92,869,refund,San Antonio,0,2025-01-01 10:00:00
688.33,388,purchase,Phoenix,0,2025-01-01 11:00:00
1396.83,766,purchase,Austin,0,2025-01-01 12:00:00
161.86,642,purchase,Chicago,0,2025-01-01 13:00:00
195.41,524,purchase,Los Angeles,0,2025-01-01 14:00:00
624.98,547,purchase,Philadelphia,0,2025-01-01 15:00:00
398.29,710,refund,Austin,0,2025-01-01 16:00:00
1501.54,760,purchase,New York,0,2025-01-01 17:00:00
442.29,110,purchase,San Diego,0,2025-01-01 18:00:00
267.12,328,purchase,Phoenix,0,2025-01-01 19:00:00
4748.81,405,purchase,Phoenix,0,2025-01-01 20:00:00
875.0,245,purchase,Los Angeles,0,2025-01-01 21:00:00
1173.24,762,purchase,San Antonio,0,2025-01-01 22:00:00
263.82,878,purchase,Phoenix,0,2025-01-01 23:00:00
636.27,829,purchase,San Diego,0,2025-01-02 00:00:00
1225.28,163,purchase,Phoenix,0,2025-01-02 01:00:00
346.89,560,purchase,Dallas,0,2025-01-02 02:00:00
1596.71,399,purchase,Phoenix,0,2025-01-02 03:00:00
601.46,583,purchase,Chicago,0,2025-01-02 04:00:00
819.18,399,purchase,Los Angeles,0,2025-01-02 05:00:00
600.82,493,purchase,Phoenix,0,2025-01-02 06:00:00
6990.3,646,purchase,Austin,0,2025-01-02 07:00:00
1081.93,239,purchase,Austin,0,2025-01-02 08:00:00
380.81,465,purchase,Phoenix,0,2025-01-02 09:00:00
2496.25,580,purchase,Philadelphia,0,2025-01-02 10:00:00
323.49,790,purchase,Los Angeles,0,2025-01-02 11:00:00
1351.36,32,purchase,Phoenix,0,2025-01-02 12:00:00
154.52,123,purchase,New York,0,2025-01-02 13:00:00
290.56,534,purchase,Chicago,0,2025-01-02 14:00:00
1335.23,667,purchase,Chicago,0,2025-01-02 15:00:00
2294.95,110,purchase,Chicago,0,2025-01-02 16:00:00
1301.62,271,purchase,Chicago,0,2025-01-02 17:00:00
976.87,380,purchase,San Diego,0,2025-01-02 18:00:00
811.51,300,purchase,New York,0,2025-01-02 19:00:00
250.0,627,purchase,Philadelphia,0,2025-01-02 20:00:00
533.87,982,purchase,Philadelphia,0,2025-01-02 21:00:00
691.84,732,refund,New York,0,2025-01-02 22:00:00
3156.19,742,purchase,New York,0,2025-01-02 23:00:00
1546.3,764,refund,Chicago,0,2025-01-03 00:00:00
188.1,249,purchase,San Diego,0,2025-01-03 01:00:00
1516.38,521,refund,Philadelphia,0,2025-01-03 02:00:00
746.14,34,purchase,Houston,0,2025-01-03 03:00:00
557.29,228,purchase,Phoenix,0,2025-01-03 04:00:00
2021.66,585,purchase,Austin,0,2025-01-03 05:00:00
3074.81,399,purchase,Chicago,0,2025-01-03 06:00:00
2782.99,958,purchase,Philadelphia,0,2025-01-03 07:00:00
473.8,813,purchase,Philadelphia,0,2025-01-03 08:00:00
804.96,724,refund,Philadelphia,0,2025-01-03 09:00:00
1527.31,584,purchase,Dallas,0,2025-01-03 10:00:00
2908.94,570,purchase,Austin,0,2025-01-03 11:00:00
679.14,220,purchase,San Diego,0,2025-01-03 12:00:00
910.82,371,refund,Philadelphia,0,2025-01-03 13:00:00
362.73,787,purchase,Los Angeles,0,2025-01-03 14:00:00
331.55,761,purchase,Houston,0,2025-01-03 15:00:00
2471.36,528,purchase,Philadelphia,0,2025-01-03 16:00:00
4256.66,75,purchase,Dallas,0,2025-01-03 17:00:00
1020.44,618,refund,Los Angeles,0,2025-01-03 18:00:00
2991.51,136,purchase,Philadelphia,0,2025-01-03 19:00:00
1574.41,929,purchase,Austin,0,2025-01-03 20:00:00
575.29,74,purchase,Austin,0,2025-01-03 21:00:00
1574.03,254,purchase,Austin,0,2025-01-03 22:00:00
5105.31,18,purchase,San Antonio,0,2025-01-03 23:00:00
1058.04,931,purchase,San Diego,0,2025-01-04 00:00:00
5242.97,43,purchase,Dallas,0,2025-01-04 01:00:00
79.86,50,purchase,Phoenix,0,2025-01-04 02:00:00
2494.65,515,purchase,Dallas,0,2025-01-04 03:00:00
1196.37,744,purchase,Dallas,0,2025-01-04 04:00:00
813.21,731,refund,San Antonio,0,2025-01-04 05:00:00
1202.02,571,refund,Los Angeles,0,2025-01-04 06:00:00
150.27,796,purchase,San Diego,0,2025-01-04 07:00:00
880.36,814,purchase,Phoenix,0,2025-01-04 08:00:00
1567.3,576,purchase,San Diego,0,2025-01-04 09:00:00
4807.32,582,purchase,Los Angeles,0,2025-01-04 10:00:00
653.1,303,purchase,San Antonio,0,2025-01-04 11:00:00
488.58,142,purchase,Phoenix,0,2025-01-04 12:00:00
663.97,903,purchase,Houston,0,2025-01-04 13:00:00
2739.15,202,purchase,Austin,0,2025-01-04 14:00:00
1523.48,207,purchase,Philadelphia,0,2025-01-04 15:00:00
645.64,415,purchase,Phoenix,0,2025-01-04 16:00:00
1832.19,221,purchase,Philadelphia,0,2025-01-04 17:00:00
1208.43,362,purchase,Dallas,0,2025-01-04 18:00:00
2888.94,758,purchase,New York,0,2025-01-04 19:00:00
543.45,81,purchase,New York,0,2025-01-04 20:00:00
790.24,763,purchase,Philadelphia,0,2025-01-04 21:00:00
740.92,563,purchase,Los Angeles,0,2025-01-04 22:00:00
253.78,285,purchase,San Diego,0,2025-01-04 23:00:00
1474.57,369,purchase,San Antonio,0,2025-01-05 00:00:00
1423.76,492,purchase,Philadelphia,0,2025-01-05 01:00:00
1102.26,911,refund,Houston,0,2025-01-05 02:00:00
867.32,896,purchase,Dallas,0,2025-01-05 03:00:00
266.3,346,purchase,San Antonio,0,2025-01-05 04:00:00
720.07,204,purchase,San Antonio,0,2025-01-05 05:00:00
778.43,25,purchase,Phoenix,0,2025-01-05 06:00:00
491.63,957,refund,New York,0,2025-01-05 07:00:00
933.29,553,purchase,Los Angeles,0,2025-01-05 08:00:00
1642.63,69,purchase,San Diego,0,2025-01-05 09:00:00
7231.39,516,purchase,Phoenix,0,2025-01-05 10:00:00
1305.81,492,purchase,Los Angeles,0,2025-01-05 11:00:00
1418.78,240,refund,Phoenix,0,2025-01-05 12:00:00
1017.96,361,purchase,San Diego,0,2025-01-05 13:00:00
160.97,441,purchase,Houston,0,2025-01-05 14:00:00
1067.94,31,refund,Chicago,0,2025-01-05 15:00:00
1164.71,899,purchase,Phoenix,0,2025-01-05 16:00:00
12877.57,629,purchase,San Antonio,1,2025-01-05 17:00:00
904.73,707,purchase,Los Angeles,0,2025-01-05 18:00:00
1482.59,602,purchase,New York,0,2025-01-05 19:00:00
1059.22,690,purchase,Phoenix,0,2025-01-05 20:00:00
340.81,657,purchase,San Antonio,0,2025-01-05 21:00:00
3438.61,956,purchase,San Diego,0,2025-01-05 22:00:00
2326.06,714,refund,San Diego,0,2025-01-05 23:00:00
2418.81,322,purchase,Austin,0,2025-01-06 00:00:00
441.69,344,purchase,Dallas,0,2025-01-06 01:00:00
4459.51,715,purchase,New York,0,2025-01-06 02:00:00
269.93,536,purchase,San Antonio,0,2025-01-06 03:00:00
1972.11,355,purchase,Austin,0,2025-01-06 04:00:00
9803.12,471,refund,San Diego,0,2025-01-06 05:00:00
407.26,928,purchase,Philadelphia,0,2025-01-06 06:00:00
622.47,983,refund,Austin,0,2025-01-06 07:00:00
1211.54,994,purchase,Houston,0,2025-01-06 08:00:00
662.83,105,purchase,San Antonio,0,2025-01-06 09:00:00
232.6,787,purchase,Chicago,0,2025-01-06 10:00:00
1174.46,322,purchase,Los Angeles,0,2025-01-06 11:00:00
379.06,572,purchase,Philadelphia,0,2025-01-06 12:00:00
1760.92,883,purchase,Los Angeles,0,2025-01-06 13:00:00
437.28,962,purchase,Philadelphia,0,2025-01-06 14:00:00
5166.42,527,refund,Austin,1,2025-01-06 15:00:00
501.07,504,purchase,Chicago,0,2025-01-06 16:00:00
794.68,85,purchase,Los Angeles,0,2025-01-06 17:00:00
2473.82,931,purchase,San Diego,0,2025-01-06 18:00:00
320.26,709,purchase,Houston,0,2025-01-06 19:00:00
1376.72,235,purchase,Houston,0,2025-01-06 20:00:00
4052.72,923,purchase,San Antonio,0,2025-01-06 21:00:00
219.76,856,purchase,San Diego,0,2025-01-06 22:00:00
1319.01,263,purchase,Dallas,0,2025-01-06 23:00:00
1422.09,6,refund,Austin,0,2025-01-07 00:00:00
2396.64,494,refund,San Diego,0,2025-01-07 01:00:00
318.32,893,purchase,Houston,0,2025-01-07 02:00:00
292.82,289,purchase,Los Angeles,0,2025-01-07 03:00:00
1848.15,570,purchase,Austin,0,2025-01-07 04:00:00
1475.84,945,purchase,Phoenix,0,2025-01-07 05:00:00
1408.8,657,purchase,San Antonio,0,2025-01-07 06:00:00
1550.68,878,purchase,Los Angeles,0,2025-01-07 07:00:00
555.56,554,purchase,Houston,0,2025-01-07 08:00:00
1383.34,350,purchase,Philadelphia,0,2025-01-07 09:00:00
1470.08,200,purchase,San Diego,0,2025-01-07 10:00:00
536.81,936,purchase,Austin,0,2025-01-07 11:00:00
7085.28,686,purchase,Philadelphia,0,2025-01-07 12:00:00
1761.34,967,purchase,Philadelphia,0,2025-01-07 13:00:00
333.18,966,purchase,Philadelphia,0,2025-01-07 14:00:00
2114.46,964,purchase,Houston,0,2025-01-07 15:00:00
413.77,897,refund,Chicago,0,2025-01-07 16:00:00
2409.28,335,purchase,New York,0,2025-01-07 17:00:00
3493.28,607,purchase,Los Angeles,0,2025-01-07 18:00:00
482.66,217,refund,Los Angeles,0,2025-01-07 19:00:00
2873.76,623,purchase,Austin,0,2025-01-07 20:00:00
1657.03,353,refund,San Antonio,0,2025-01-07 21:00:00
2495.04,692,purchase,Philadelphia,0,2025-01-07 22:00:00
7308.5,675,purchase,San Diego,0,2025-01-07 23:00:00
858.01,631,purchase,Dallas,0,2025-01-08 00:00:00
516.08,325,purchase,Phoenix,0,2025-01-08 01:00:00
450.56,901,purchase,Chicago,0,2025-01-08 02:00:00
485.02,228,purchase,Houston,0,2025-01-08 03:00:00
1015.26,145,purchase,San Diego,0,2025-01-08 04:00:00
1542.49,949,purchase,Chicago,0,2025-01-08 05:00:00
1446.19,308,purchase,Los Angeles,0,2025-01-08 06:00:00
2507.86,654,purchase,San Antonio,0,2025-01-08 07:00:00
1110.98,634,purchase,Houston,0,2025-01-08 08:00:00
4691.62,285,purchase,San Diego,0,2025-01-08 09:00:00
841.63,392,purchase,New York,0,2025-01-08 10:00:00
16650.06,738,purchase,San Diego,0,2025-01-08 11:00:00
2050.15,360,purchase,Phoenix,0,2025-01-08 12:00:00
465.37,769,purchase,Los Angeles,0,2025-01-08 13:00:00
375.82,797,purchase,New York,0,2025-01-08 14:00:00
1776.63,932,purchase,Philadelphia,0,2025-01-08 15:00:00
877.03,947,purchase,Dallas,0,2025-01-08 16:00:00
2239.48,165,purchase,Dallas,0,2025-01-08 17:00:00
1760.3,733,purchase,Dallas,0,2025-01-08 18:00:00
1019.61,581,purchase,Houston,0,2025-01-08 19:00:00
470.22,821,purchase,Philadelphia,0,2025-01-08 20:00:00
241.09,224,purchase,Austin,0,2025-01-08 21:00:00
701.69,124,purchase,Philadelphia,0,2025-01-08 22:00:00
2582.2,948,purchase,Phoenix,0,2025-01-08 23:00:00
1358.44,344,purchase,Los Angeles,0,2025-01-09 00:00:00
315.53,851,refund,San Antonio,0,2025-01-09 01:00:00
1303.99,524,purchase,New York,0,2025-01-09 02:00:00
1612.14,52,purchase,Philadelphia,0,2025-01-09 03:00:00
